SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
RDAIXDD,Reliance MF - Reliance Dual Adv FTF Sr IX Pl D - DPO,MF,15-JUN-2016,10,1,INF204KB1429,10
RDAIXDDD,Reliance MF - Reliance Dual Adv FTF Sr IX Pl D - DP-DPO,MF,15-JUN-2016,10,1,INF204KB1403,10
RDAIXDDG,Reliance MF - Reliance Dual Adv FTF Sr IX Pl D - DP-GO,MF,15-JUN-2016,10,1,INF204KB1411,10
RDAIXDG,Reliance MF - Reliance Dual Adv FTF Sr IX Pl D - GO,MF,15-JUN-2016,10,1,INF204KB1437,10
RDAVIIPCDG,Reliance MF - Reliance Dual Adv FTF Sr VII Pl C - DP-GO,MF,12-FEB-2015,10,1,INF204KA1B31,10
RDAVIIPDD,Reliance MF - Reliance Dual Adv FTF Sr VII Pl D - DPO,MF,06-APR-2015,10,1,INF204KA1G51,10
RDAVIIPDDD,Reliance MF - Reliance Dual Adv FTF Sr VII Pl D - DP-DPO,MF,06-APR-2015,10,1,INF204KA1G36,10
RDAVIIPDDG,Reliance MF - Reliance Dual Adv FTF Sr VII Pl D - DP-GO,MF,06-APR-2015,10,1,INF204KA1G44,10
RDAVIIPDG,Reliance MF - Reliance Dual Adv FTF Sr VII Pl D - O,MF,06-APR-2015,10,1,INF204KA1G69,10
RDAXADD,Reliance MF - Reliance Dual Adv FTF Sr X Pl A - DPO,MF,21-NOV-2016,10,1,INF204KB1FB2,10
RDAXADDD,Reliance MF - Reliance Dual Adv FTF Sr X Pl A - DP-DPO,MF,21-NOV-2016,10,1,INF204KB1EZ4,10
RDAXADDG,Reliance MF - Reliance Dual Adv FTF Sr X Pl A - DP-GO,MF,21-NOV-2016,10,1,INF204KB1FA4,10
RDAXADG,Reliance MF - Reliance Dual Adv FTF Sr X Pl A - GO,MF,21-NOV-2016,10,1,INF204KB1FC0,10
RDAXBDD,Reliance MF - RDA Fixed Tenure Fund   Sr x Plan B - DPO,MF,23-DEC-2016,10,1,INF204KB1FG1,10
RDAXBDDD,Reliance MF - RDA Fixed Tenure Fund   Sr x Plan B - DP - DPO,MF,23-DEC-2016,10,1,INF204KB1FE6,10
RDAXBDDG,Reliance MF - RDA Fixed Tenure Fund   Sr x Plan B - DP - GO,MF,23-DEC-2016,10,1,INF204KB1FF3,10
RDAXBDG,Reliance MF - RDA Fixed Tenure Fund   Sr x Plan B - GO,MF,23-DEC-2016,10,1,INF204KB1FH9,10
RDAXCDD,Reliance MF - Rel. Dual Adv. Fix. Ten. Fund Sr.x Plan C - DPO,MF,13-JAN-2017,10,1,INF204KB1GE4,10
RDAXCDDD,Reliance MF - Rel. Dual Adv. Fix. Ten. Fund Sr.x Plan C - DP - DPO,MF,13-JAN-2017,10,1,INF204KB1GC8,10
RDAXCDDG,Reliance MF - Rel. Dual Adv. Fix. Ten. Fund Sr.x Plan C - DP - GO,MF,13-JAN-2017,10,1,INF204KB1GD6,10
RDAXCDG,Reliance MF - Rel. Dual Adv. Fix. Ten. Fund Sr.x Plan C - GO,MF,13-JAN-2017,10,1,INF204KB1GF1,10
RDAXDDD,Reliance MF - Reliance Dual Adv FTF Sr X Pl D - DPO,MF,18-JAN-2017,10,1,INF204KB1GM7,10
RDAXDDDD,Reliance MF - Reliance Dual Adv FTF Sr X Pl D - DP-DPO,MF,18-JAN-2017,10,1,INF204KB1GK1,10
RDAXDDDG,Reliance MF - Reliance Dual Adv FTF Sr X Pl D - DP-GO,MF,18-JAN-2017,10,1,INF204KB1GL9,10
RDAXDDG,Reliance MF - Reliance Dual Adv FTF Sr X Pl D - GO,MF,18-JAN-2017,10,1,INF204KB1GN5,10
RDAXEDD, Reliance MF - Reliance Dual Advantage FTF  Sr. x Plan E - DPO,MF,30-JAN-2017,10,1,INF204KB1GQ8,10
RDAXEDDD, Reliance MF - Reliance Dual Advantage FTF  Sr. x Plan E -  DP -  DPO,MF,30-JAN-2017,10,1,INF204KB1GO3,10
RDAXEDDG, Reliance MF - Reliance Dual Advantage FTF  Sr. x Plan E - DPGO,MF,30-JAN-2017,10,1,INF204KB1GP0,10
RDAXEDG, Reliance MF - Reliance Dual Advantage FTF  Sr. x Plan E -  GO,MF,30-JAN-2017,10,1,INF204KB1GR6,10
RDAXFDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund  Seri,MF,13-FEB-2017,10,1,INF204KB1GY2,10
RDAXFDDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund  Seri,MF,13-FEB-2017,10,1,INF204KB1GW6,10
